customer_id,first_name,last_name,email,phone,country,signup_date,age,annual_income,customer_status
21386,Rahim,Brown,rahim.brown21386@example.com,+8801990853345,United Kingdom,2023-07-22,62,123204.0,Inactive
16867,Tanvir,Khan,tanvir.khan16867@example.com,+8801872757323,Germany,2023-11-10,47,100651.0,Inactive
11324,James,Garcia,james.garcia11324@example.com,+8801939777846,Germany,2025-02-09,36,24851.0,Inactive
12253,Fatima,Islam,fatima.islam12253@example.com,+8801419218400,Canada,2022-10-03,65,29697.0,Inactive
21278,Emily,Rahman,emily.rahman21278@example.com,+8801440789677,Bangladesh,2023-12-04,63,149157.0,Suspended
12421,David,Williams,david.williams12421@example.com,+8801327176053,Canada,2022-05-23,33,98860.0,Suspended
13899,James,Garcia,james.garcia13899@example.com,+8801541448388,United States,2024-08-04,62,40709.0,Inactive
14368,Michael,Ahmed,michael.ahmed14368@example.com,+8801617865266,Australia,2024-08-21,55,103743.0,Active
12997,Emily,Smith,emily.smith12997@example.com,+8801692779292,Bangladesh,2025-08-15,49,88017.0,Inactive
10248,John,Williams,john.williams10248@example.com,+8801862714327,Australia,2025-06-02,28,67696.0,Inactive
17682,Hasan,Islam,hasan.islam17682@example.com,+8801917732748,Germany,2023-09-20,66,108011.0,Inactive
22236,Ayesha,Williams,ayesha.williams22236@example.com,+8801797437508,Canada,2022-10-20,56,145271.0,Inactive
14338,Fatima,Khan,fatima.khan14338@example.com,+8801650513277,United States,2022-12-11,36,117111.0,Active
20071,Emily,Islam,emily.islam20071@example.com,+8801544804317,United States,2025-09-17,64,45246.0,Suspended
14430,Michael,Hossain,michael.hossain14430@example.com,+8801684309225,BD,2025-04-25,56,58949.0,Active
18889,Sarah,Williams,sarah.williams18889@example.com,+8801448648570,Australia,2024-02-10,57,51657.0,Suspended
20518,Maria,Hossain,maria.hossain20518@example.com,+8801836608258,Bangladesh,2025-12-16,43,39164.0,Inactive
10851,Michael,Garcia,michael.garcia10851@example.com,+8801591912946,United Kingdom,2025-08-21,65,89722.0,Inactive
20200,Michael,Ahmed,michael.ahmed20200@example.com,+8801476181208,United States,2025-11-05,30,36633.0,Active
18490,Karim,Brown,karim.brown18490@example.com,+8801345794958,United States,2023-04-23,52,58539.0,Suspended
11079,Karim,Brown,karim.brown11079@example.com,+8801990853694,United Kingdom,2024-10-20,52,146478.0,Inactive
14206,Emily,Rahman,emily.rahman14206@example.com,+8801712522033,Canada,2022-09-29,18,32970.0,Inactive
18140,Maria,Hossain,maria.hossain18140@example.com,+8801672124296,United States,2024-06-26,39,75089.0,Inactive
20744,David,Rahman,david.rahman20744@example.com,+8801540058199,Germany,2024-05-14,34,75561.0,Suspended
21344,David,Williams,david.williams21344@example.com,+8801658170146,Australia,2023-06-13,19,63735.0,Active
13579,John,Garcia,john.garcia13579@example.com,+8801367968595,Australia,2024-09-03,38,112831.0,Suspended
12685,Sarah,Williams,sarah.williams12685@example.com,+8801982045843,United Kingdom,2022-10-22,27,119891.0,Active
17496,David,Ahmed,david.ahmed17496@example.com,+8801329522104,United States,2023-04-18,54,126640.0,Suspended
15874,Fatima,Ahmed,fatima.ahmed15874@example.com,+8801424128440,United Kingdom,2025-03-18,55,40112.0,Inactive
14654,Ayesha,Islam,ayesha.islam14654@example.com,+8801642660291,Bangladesh,2024-01-10,64,24178.0,Suspended
21985,Fatima,Khan,fatima.khan21985@example.com,+8801633158850,United States,2025-04-12,61,106240.0,Inactive
19607,Ayesha,Smith,ayesha.smith19607@example.com,+8801423114736,Germany,2025-08-27,45,50493.0,Active
